sample	unit	fq1	fq2
SAMN28197083	SRR19174511	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/011/SRR19174511/SRR19174511_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/011/SRR19174511/SRR19174511_2.fastq.gz
SAMN28197075	SRR19174519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/019/SRR19174519/SRR19174519_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/019/SRR19174519/SRR19174519_2.fastq.gz
SAMN28197074	SRR19174521	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/021/SRR19174521/SRR19174521_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/021/SRR19174521/SRR19174521_2.fastq.gz
SAMN28197071	SRR19174524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/024/SRR19174524/SRR19174524_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/024/SRR19174524/SRR19174524_2.fastq.gz
SAMN28197056	SRR19174540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/040/SRR19174540/SRR19174540_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/040/SRR19174540/SRR19174540_2.fastq.gz
SAMN28197046	SRR19174551	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/051/SRR19174551/SRR19174551_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/051/SRR19174551/SRR19174551_2.fastq.gz
SAMEA5151076	ERR2984766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2984766/ERR2984766_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2984766/ERR2984766_2.fastq.gz
SAMEA5151077	ERR2984767	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2984767/ERR2984767_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2984767/ERR2984767_2.fastq.gz
SAMEA5151078	ERR2984768	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2984768/ERR2984768_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2984768/ERR2984768_2.fastq.gz
SAMEA5151079	ERR2984769	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2984769/ERR2984769_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2984769/ERR2984769_2.fastq.gz
SAMEA5151080	ERR2984771	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2984771/ERR2984771_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/001/ERR2984771/ERR2984771_2.fastq.gz
SAMEA5151081	ERR2984772	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2984772/ERR2984772_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2984772/ERR2984772_2.fastq.gz
